id,name,power,itemGraphic,cost,tr,option,optionSpeed,animation,graphic,weaponPort,weaponNumber,ammo,stop,iconGraphic,displayName
0,None                          ,0,304,0,0,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,None
1,Single Shot Option            ,0,1,3000,0,2,3,4,168|187|206|187|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,16,1,0,1,1,Single Shot Option
2,Dual Shot Option              ,0,5,6000,0,2,3,4,169|188|207|188|169|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,16,5,0,1,2,Dual Shot Option
3,Charge Cannon                 ,2,193,15000,0,1,3,9,258|258|258|277|277|277|296|296|296|0|0|0|0|0|0|0|0|0|0|0,16,101,0,1,10,Charge Cannon
4,Vulcan Shot Option            ,0,89,10000,0,1,4,9,167|167|167|186|186|186|205|205|205|0|0|0|0|0|0|0|0|0|0|0,16,11,0,1,3,Vulcan Shot Option
5,Wobbley                       ,0,199,25000,0,1,3,20,166|246|265|265|284|284|303|303|246|246|246|246|246|246|246|246|246|246|246|246,16,366,0,1,7,Wobbley
6,SuperMissile   Ammo 5         ,0,13,4000,0,2,2,15,261|261|261|261|280|280|280|299|299|299|280|280|280|261|261|0|0|0|0|0,16,15,5,1,4,SuperMissile   Ammo 5
7,Atom Bombs     Ammo 40        ,0,201,8000,0,2,3,7,165|184|184|203|203|184|184|0|0|0|0|0|0|0|0|0|0|0|0|0,16,19,40,1,9,Atom Bombs     Ammo 40
8,Phoenix Device Ammo 8         ,0,195,8000,0,1,4,6,171|190|209|228|209|190|0|0|0|0|0|0|0|0|0|0|0|0|0|0,16,22,8,1,8,Phoenix Device Ammo 8
9,Plasma Storm   Ammo 10        ,0,169,8000,0,1,3,20,224|224|224|224|243|243|243|243|262|262|262|262|281|281|281|281|300|300|300|300,16,88,10,1,38,Plasma Storm   Ammo 10
10,Mini-Missile   Ammo 100       ,0,51,1000,0,1,4,15,163|163|163|163|182|182|182|201|201|201|182|182|182|163|163|0|0|0|0|0,16,26,100,1,5,Mini-Missile   Ammo 100
11,Buster Rocket  Ammo 30        ,0,13,12500,0,2,4,7,165|184|184|203|203|184|184|0|0|0|0|0|0|0|0|0|0|0|0|0,16,94,30,1,12,Buster Rocket  Ammo 30
12,Zica SuperCharger             ,4,49,50000,0,1,3,8,3|3|22|22|41|41|60|60|0|0|0|0|0|0|0|0|0|0|0|0,16,199,0,1,11,Zica SuperCharger
13,MicroBomb      Ammo 60        ,0,283,4000,0,2,4,7,165|184|184|203|203|184|184|0|0|0|0|0|0|0|0|0|0|0|0|0,16,29,60,1,39,MicroBomb      Ammo 60
14,8-Way MicroBomb  Ammo 30      ,0,283,7500,0,2,4,7,165|184|184|203|203|184|184|0|0|0|0|0|0|0|0|0|0|0|0|0,16,298,30,1,39,8-Way MicroBomb  Ammo 30
15,Post-It Mine   Ammo 20        ,0,197,7000,0,1,3,7,165|184|184|203|203|184|184|0|0|0|0|0|0|0|0|0|0|0|0|0,16,86,20,1,6,Post-It Mine   Ammo 20
16,Charge-Laser Cannon           ,5,193,30000,0,1,3,12,87|87|87|106|106|106|125|125|125|144|144|144|0|0|0|0|0|0|0|0,4,452,0,1,6,Charge-Laser Cannon
17,Flame Thrower                 ,0,115,20000,0,1,3,12,87|87|87|106|106|106|125|125|125|144|144|144|0|0|0|0|0|0|0|0,4,121,0,1,6,Flame Thrower
18,Side Ship      Ammo 100       ,0,7,3000,0,1,3,11,245|245|264|264|283|283|302|302|245|245|245|144|0|0|0|0|0|0|0|0,16,122,100,1,3,Side Ship      Ammo 100
