id,drain,shotRepeat,multi,weaponAnimation,max,tx,ty,aim,attack,del,sx,sy,bx,by,sg,acceleration,accelerationX,circleSize,sound,trail,shipBlastFilter
0,0,0,0,0,0,0,0,0,226|227|227|226|228|227|227|227,227|227|227|227|227|227|227|227,-29|-29|-29|-29|-29|-29|-29|-29,-27|-27|-27|-27|-27|-27|-29|-29,-29|-29|-27|-30|-27|-28|-28|-28,-30|-27|-30|-29|-29|-29|-27|-27,58853|58853|58339|58339|58339|58339|58339|58339,0,0,0,0,255,240
1,10,5,1,0,1,0,0,0,1|226|227|227|227|227|227|227,255|227|227|227|227|227|227|227,0|-29|-29|-29|-29|-29|-29|-29,12|-29|-29|-29|-27|-30|-29|-29,0|-29|-29|-30|-30|-29|-29|-27,0|-28|-28|-28|-28|-28|-28|-28,67|59367|58088|58082|58082|58082|58082|58082,0,0,0,28,255,208
2,10,4,1,0,1,0,0,0,3|228|228|228|228|228|228|228,255|228|228|228|228|228|228|228,0|-28|-28|-28|-28|-28|-28|-28,4|-28|-28|-28|-28|-28|-28|-28,0|-28|-28|-28|-28|-28|-28|-28,0|-28|-28|-28|-28|-28|-29|-30,146|59110|59110|59366|57568|57824|57825|57825,0,0,0,1,255,208
3,10,4,1,0,1,0,0,0,3|230|232|226|226|226|226|226,255|226|226|226|226|226|226|226,-3|-30|-30|-30|-30|-30|-30|-30,3|-25|-25|-26|-29|-26|-27|-27,0|-27|-27|-27|-27|-30|-29|-29,0|-29|-29|-29|-27|-27|-27|-27,147|58339|58851|58853|58853|58853|58853|58341,0,0,0,1,255,208
4,10,4,1,0,1,0,0,0,3|227|227|226|228|227|227|227,255|227|229|229|229|229|229|229,-3|-27|-27|-29|-29|-29|-29|-29,3|-28|-28|-28|-28|-28|-30|-29,0|-29|-27|-30|-27|-28|-28|-28,0|-27|-30|-29|-29|-29|-27|-28,145|58596|58338|58339|58851|58853|58853|58853,0,0,0,1,255,208
5,20,5,1,0,1,0,0,0,2|228|229|229|229|229|229|229,255|229|227|227|227|231|229|229,0|-27|-27|-27|-27|-27|-27|-29,12|-29|-29|-29|-27|-28|-27|-27,0|-29|-29|-29|-29|-29|-29|-27,0|-28|-28|-28|-28|-28|-28|-28,245|59367|58088|58082|58082|58082|58082|58082,0,0,0,28,255,208
6,10,4,1,0,1,0,0,0,1|228|228|228|228|228|228|228,255|228|228|228|228|228|228|228,0|-28|-28|-28|-28|-28|-28|-28,8|-28|-28|-28|-28|-28|-28|-28,0|-28|-28|-28|-28|-28|-28|-28,0|-28|-28|-28|-28|-28|-29|-30,146|59110|59110|59366|57568|57568|57568|57568,0,0,0,1,255,208
7,10,4,1,0,1,0,0,0,1|230|232|226|226|226|226|226,255|226|226|226|226|226|226|226,-6|-30|-30|-30|-30|-30|-30|-30,6|-27|-25|-26|-29|-27|-28|-28,0|-28|-28|-28|-28|-30|-29|-29,0|-29|-29|-29|0|-28|-28|-30,147|58339|58851|58596|58596|58596|58596|58084,0,0,0,1,255,208
8,10,4,1,0,1,0,0,0,1|229|229|229|229|229|0|229,255|229|229|228|228|228|228|228,-6|-28|-28|-30|-29|-29|-29|-29,6|-30|-30|-30|-30|-30|-30|-29,0|-29|-27|-30|-27|-28|-28|-28,0|-27|-30|-29|-29|-29|-29|-30,145|58082|58338|58339|58851|228|58596|58596,0,0,0,1,255,208
9,30,4,1,0,1,0,0,0,3|226|226|226|226|228|0|228,255|228|226|227|227|229|228|228,0|-28|-28|-28|-28|-28|-28|-30,6|-29|-29|-29|-29|-28|-28|-28,0|-29|-29|-29|-29|-29|-29|-28,0|-29|-29|-29|-29|-29|-29|-29,60|58855|58085|58082|58082|58082|58082|58082,0,0,0,28,255,208
