id,drain,shotRepeat,multi,weaponAnimation,max,tx,ty,aim,attack,del,sx,sy,bx,by,sg,acceleration,accelerationX,circleSize,sound,trail,shipBlastFilter
0,0,0,0,0,0,0,0,0,108|101|32|32|32|32|50|48,32|32|32|32|32|32|32|32,32|32|32|32|32|32|32|32,48|53|35|0|0|0|0|32,97|110|105|32|32|32|32|32,32|32|32|32|32|32|50|49,8224|8224|8224|8224|8224|8224|8224|8224,0,0,0,0,255,240
1,10,5,1,0,1,0,0,0,1|32|32|32|32|32|91|50,255|32|50|52|32|50|54|32,0|56|32|51|48|32|32|32,12|48|55|32|48|57|32|49,0|32|49|51|32|49|53|0,0|0|0|0|0|32|32|32,67|8224|8224|8224|8224|8224|13088|8242,0,0,0,28,255,208
2,0,7,3,0,3,0,0,0,1|1|1|57|32|50|49|32,255|255|255|50|53|109|48|0,-6|-5|0|32|32|32|32|32,0|5|6|32|32|32|32|32,-6|-6|14|52|50|32|52|52,0|20|28|32|52|56|32|53,227|227|227|8247|14642|13088|8241|13107,0,0,0,26,255,208
3,0,7,3,0,3,0,0,0,1|1|1|32|32|32|32|32,255|255|255|32|53|52|32|53,6|5|0|56|32|54|48|93,0|5|6|51|55|32|51|57,6|6|-14|32|52|51|32|52,0|20|28|0|0|0|0|32,227|227|227|8224|8224|8224|8224|12854,0,0,0,26,255,208
4,0,6,7,0,7,0,0,0,2|2|3|2|2|2|3|32,255|255|255|255|255|255|255|32,-2|2|1|-1|1|-1|0|51,2|2|1|1|2|2|3|32,0|0|0|0|0|0|0|32,0|0|0|0|0|0|0|32,244|244|244|244|244|244|244|13366,0,0,0,26,255,208
5,20,5,1,0,1,0,0,0,2|57|35|0|0|0|0|32,255|110|105|109|97|120|32|32,0|32|32|32|32|32|54|53,12|32|32|32|32|32|32|32,0|32|32|32|32|32|32|32,0|48|35|0|0|0|0|32,245|30569|25960|26222|29289|8293|8224|13878,0,0,0,28,255,208
6,10,1,1,2,1,0,0,5,3|49|35|0|0|0|0|32,255|104|97|112|101|98|97|110,0|115|101|103|32|32|54|55,0|32|32|32|32|32|32|32,0|32|32|32|32|32|32|32,0|50|35|0|0|0|0|32,112|25970|8310|8224|8224|8224|8224|14646,0,0,0,13,255,208
7,10,1,1,2,1,0,0,4,1|52|35|0|0|0|0|32,255|121|114|101|118|32|32|32,0|32|32|32|32|32|55|48,0|32|32|32|32|32|32|32,0|32|32|32|32|32|32|32,0|53|35|0|0|0|0|32,112|25443|25697|8292|8224|8224|8224|12599,0,0,0,13,255,208
8,10,1,1,2,1,0,0,3,1|54|35|0|0|0|0|32,255|121|99|99|97|100|100|32,0|32|32|32|32|32|55|51,0|32|32|32|32|32|32|32,0|32|32|32|32|32|32|32,0|56|35|0|0|0|0|32,112|25443|28023|30817|8224|8224|8224|13623,0,0,0,13,255,208
9,30,4,1,0,1,0,0,0,3|48|35|0|0|0|0|32,255|121|99|99|119|109|97|120,0|32|32|32|32|32|55|54,6|32|32|32|32|32|32|32,0|32|32|32|32|32|32|32,0|49|35|0|0|0|0|32,60|28005|25721|29793|26223|8307|8224|14135,0,0,0,28,255,208
