file,bytes,category,contents,readBy,sourceReferences,dumpedTo,dumped
cubetxt1.dat,12957,text,Datacube text for one episode,src/game_menu.c load_cube,episodes.c,text/datacubes,1
cubetxt2.dat,14298,text,Datacube text for one episode,src/game_menu.c load_cube,episodes.c,text/datacubes,1
cubetxt3.dat,9750,text,Datacube text for one episode,src/game_menu.c load_cube,episodes.c,text/datacubes,1
demo.1,1605,demos,Recorded attract-mode input for one level,src/mainint.c load_next_demo and replay_demo_keys,mainint.c,demos/demo_1.json,1
demo.2,1749,demos,Recorded attract-mode input for one level,src/mainint.c load_next_demo and replay_demo_keys,mainint.c,demos/demo_2.json,1
demo.3,1341,demos,Recorded attract-mode input for one level,src/mainint.c load_next_demo and replay_demo_keys,mainint.c,demos/demo_3.json,1
demo.4,1083,demos,Recorded attract-mode input for one level,src/mainint.c load_next_demo and replay_demo_keys,mainint.c,demos/demo_4.json,1
demo.5,1083,demos,Recorded attract-mode input for one level,src/mainint.c load_next_demo and replay_demo_keys,mainint.c,demos/demo_5.json,1
dpmi16bi.ovl,50544,executable,DOS extender overlay,not read at runtime,,raw/executable/dpmi16bi.ovl|raw/executable/dpmi16bi.ovl.strings.txt,1
estsc.shp,115338,sprites,Ending and credits sprites,src/mainint.c JE_playCredits,mainint.c,sprites/standalone/estsc_shp,1
exitmsg.bin,4000,text,80x25 DOS text screen shown on exit,not read at runtime,,text/exitmsg.txt,1
file0001.exe,212480,executable,DOS or Windows executable shipped with the data,not read at runtime,,raw/executable/file0001.exe|raw/executable/file0001.exe.strings.txt,1
file0002.exe,84810,executable,DOS or Windows executable shipped with the data,not read at runtime,,raw/executable/file0002.exe|raw/executable/file0002.exe.strings.txt,1
file_id.diz,304,text,BBS description shipped with the release,not read at runtime,,text/docs/file_id.txt,1
helpme.doc,15596,text,"DOS-era manual, licence or ordering document in CP437 text",not read at runtime,,text/docs/helpme.txt,1
helpme.exe,15372,executable,DOS or Windows executable shipped with the data,not read at runtime,,raw/executable/helpme.exe|raw/executable/helpme.exe.strings.txt,1
