28,28,28,0,1,2,28,28,28,28,28,28,28,28,71
28,28,28,12,13,14,28,28,28,28,28,28,28,28,71
28,28,28,24,15,14,28,28,0,1,2,28,28,28,71
28,28,28,28,24,26,28,28,12,13,14,28,28,28,71
5,5,5,5,5,5,0,1,3,13,14,28,28,28,71
5,28,28,28,28,28,24,15,13,16,26,28,28,28,71
28,28,28,28,28,28,28,24,25,26,0,1,2,28,71
28,28,28,28,28,28,28,28,0,1,3,13,14,28,71
0,1,2,28,28,28,28,28,24,15,13,16,26,28,71
24,15,4,1,1,1,2,28,28,24,25,26,28,28,71
28,24,15,13,13,13,14,28,0,1,1,2,28,28,71
0,1,3,13,16,25,26,28,24,15,13,14,28,28,71
24,15,13,13,14,28,28,28,28,24,25,26,28,28,71
28,24,15,13,14,28,28,5,5,28,28,28,0,1,2
28,28,24,15,14,28,28,28,28,28,28,28,24,15,14
28,28,28,24,26,28,28,28,28,28,28,5,28,24,26
28,28,5,5,5,5,5,28,0,1,2,5,0,1,2
28,28,5,5,5,5,5,28,24,15,14,28,24,15,14
28,28,28,28,28,28,28,5,28,24,26,28,28,24,26
28,28,28,28,28,28,28,28,28,28,28,28,28,28,71
28,28,0,1,1,1,2,28,28,28,28,28,28,28,71
0,1,3,13,13,13,4,1,2,5,5,5,5,28,71
24,15,16,25,25,25,15,13,14,5,5,5,5,28,71
28,12,4,1,2,28,24,25,26,5,5,5,5,28,71
28,24,15,13,14,28,0,1,2,28,28,28,28,28,71
28,28,24,25,26,28,24,15,14,28,28,28,28,28,71
0,1,1,2,28,0,1,3,14,28,28,0,1,1,2
12,13,13,14,28,12,13,16,26,28,28,24,15,13,14
24,15,16,26,28,24,15,14,28,28,28,28,24,25,26
28,24,26,0,1,2,12,4,2,28,28,28,28,28,71
5,28,28,24,15,14,24,15,4,1,2,28,28,28,71
0,1,1,1,3,14,28,24,15,13,14,28,28,28,71
24,15,13,13,16,26,28,28,24,25,26,28,28,28,71
28,24,15,13,14,28,28,28,28,28,28,28,28,28,71
28,28,24,15,14,28,28,28,28,28,28,28,28,28,71
28,28,28,24,26,28,28,28,28,0,1,1,2,28,71
28,28,5,28,28,28,28,28,28,24,15,13,14,28,71
28,28,5,5,28,28,28,28,28,28,24,15,4,1,2
5,5,5,5,28,28,28,0,1,1,1,3,13,13,14
5,5,28,28,28,28,28,24,15,13,13,16,25,15,14
