keys,hold,pressed
0,38,
8,20,right
0,2,
4,32,left
0,10,
8,6,right
0,8,
1,6,up
0,1,
16,7,fire
18,7,down|fire
16,1,fire
20,3,left|fire
16,17,fire
0,3,
8,34,right
0,6,
1,10,up
0,10,
8,2,right
2,3,down
18,5,down|fire
16,7,fire
24,2,right|fire
16,28,fire
1,12,up
0,1,
4,5,left
0,3,
8,7,right
10,1,down|right
2,3,down
0,1,
4,6,left
20,2,left|fire
4,6,left
0,1,
2,2,down
6,12,down|left
4,1,left
8,1,right
24,2,right|fire
16,10,fire
18,4,down|fire
16,32,fire
0,1,
4,5,left
5,3,up|left
1,4,up
9,6,up|right
8,1,right
10,5,down|right
8,8,right
0,3,
4,4,left
20,2,left|fire
16,2,fire
24,3,right|fire
18,4,down|fire
22,1,down|left|fire
20,4,left|fire
16,2,fire
24,3,right|fire
16,1,fire
17,21,up|fire
16,2,fire
18,1,down|fire
22,1,down|left|fire
20,4,left|fire
16,3,fire
24,3,right|fire
16,3,fire
24,3,right|fire
16,2,fire
24,1,right|fire
26,11,down|right|fire
16,11,fire
24,3,right|fire
16,1,fire
18,5,down|fire
16,13,fire
20,5,left|fire
4,1,left
20,23,left|fire
21,1,up|left|fire
17,5,up|fire
24,2,right|fire
8,13,right
24,10,right|fire
16,10,fire
0,9,
2,5,down
6,2,down|left
4,10,left
20,5,left|fire
16,3,fire
24,22,right|fire
25,2,up|right|fire
17,12,up|fire
16,1,fire
20,12,left|fire
16,1,fire
24,5,right|fire
16,2,fire
20,8,left|fire
16,3,fire
24,6,right|fire
20,10,left|fire
16,2,fire
18,6,down|fire
16,3,fire
20,13,left|fire
16,39,fire
18,5,down|fire
16,19,fire
24,2,right|fire
16,5,fire
24,6,right|fire
16,5,fire
18,4,down|fire
26,1,down|right|fire
24,27,right|fire
16,29,fire
20,30,left|fire
24,8,right|fire
25,2,up|right|fire
17,8,up|fire
16,8,fire
18,5,down|fire
16,4,fire
24,1,right|fire
8,10,right
0,3,
2,9,down
0,9,
1,7,up
0,2,
2,9,down
0,1,
1,1,up
17,6,up|fire
16,11,fire
17,9,up|fire
16,2,fire
20,9,left|fire
16,4,fire
24,11,right|fire
26,6,down|right|fire
18,5,down|fire
16,5,fire
18,3,down|fire
22,3,down|left|fire
20,15,left|fire
16,1,fire
24,3,right|fire
16,4,fire
24,11,right|fire
26,6,down|right|fire
24,1,right|fire
16,2,fire
20,18,left|fire
17,10,up|fire
16,1,fire
20,9,left|fire
16,12,fire
18,8,down|fire
24,17,right|fire
16,10,fire
17,6,up|fire
25,3,up|right|fire
17,2,up|fire
16,9,fire
18,5,down|fire
16,1,fire
