file,bytes,category,contents,readBy,sourceReferences,dumpedTo,dumped
cubetxt1.dat,36169,text,Datacube text for one episode,src/game_menu.c load_cube,episodes.c,text/datacubes,1
cubetxt2.dat,8108,text,Datacube text for one episode,src/game_menu.c load_cube,episodes.c,text/datacubes,1
cubetxt3.dat,12294,text,Datacube text for one episode,src/game_menu.c load_cube,episodes.c,text/datacubes,1
cubetxt4.dat,62424,text,Datacube text for one episode,src/game_menu.c load_cube,episodes.c,text/datacubes,1
demo.1,2745,demos,Recorded attract-mode input for one level,src/mainint.c load_next_demo and replay_demo_keys,mainint.c,demos/demo_1.json,1
demo.2,2193,demos,Recorded attract-mode input for one level,src/mainint.c load_next_demo and replay_demo_keys,mainint.c,demos/demo_2.json,1
demo.3,1974,demos,Recorded attract-mode input for one level,src/mainint.c load_next_demo and replay_demo_keys,mainint.c,demos/demo_3.json,1
demo.4,699,demos,Recorded attract-mode input for one level,src/mainint.c load_next_demo and replay_demo_keys,mainint.c,demos/demo_4.json,1
demo.5,1122,demos,Recorded attract-mode input for one level,src/mainint.c load_next_demo and replay_demo_keys,mainint.c,demos/demo_5.json,1
dpmi16bi.ovl,50544,executable,DOS extender overlay,not read at runtime,,raw/executable/dpmi16bi.ovl|raw/executable/dpmi16bi.ovl.strings.txt,1
estsc.shp,115338,sprites,Ending and credits sprites,src/mainint.c JE_playCredits,mainint.c,sprites/standalone/estsc_shp,1
exitmsg.bin,4000,text,80x25 DOS text screen shown on exit,not read at runtime,,text/exitmsg.txt,1
file0001.exe,236032,executable,DOS or Windows executable shipped with the data,not read at runtime,,raw/executable/file0001.exe|raw/executable/file0001.exe.strings.txt,1
file0002.exe,84810,executable,DOS or Windows executable shipped with the data,not read at runtime,,raw/executable/file0002.exe|raw/executable/file0002.exe.strings.txt,1
file_id.diz,304,text,BBS description shipped with the release,not read at runtime,,text/docs/file_id.txt,1
helpme.doc,13083,text,"DOS-era manual, licence or ordering document in CP437 text",not read at runtime,,text/docs/helpme.txt,1
helpme.exe,15372,executable,DOS or Windows executable shipped with the data,not read at runtime,,raw/executable/helpme.exe|raw/executable/helpme.exe.strings.txt,1
levels1.dat,9359,levels,"Episode script: shop stock, planets, datacubes, text and level order",src/tyrian2.c JE_loadMap,episodes.c|game_menu.c,text/episode_scripts,1
levels2.dat,5534,levels,"Episode script: shop stock, planets, datacubes, text and level order",src/tyrian2.c JE_loadMap,episodes.c|game_menu.c,text/episode_scripts,1
levels3.dat,6052,levels,"Episode script: shop stock, planets, datacubes, text and level order",src/tyrian2.c JE_loadMap,episodes.c|game_menu.c,text/episode_scripts,1
levels4.dat,11103,levels,"Episode script: shop stock, planets, datacubes, text and level order",src/tyrian2.c JE_loadMap,episodes.c|game_menu.c,text/episode_scripts,1
license.doc,7869,text,"DOS-era manual, licence or ordering document in CP437 text",not read at runtime,,text/docs/license.txt,1
loudness.awe,34382,audio,AWE32 instrument bank from the DOS build,not read at runtime,,raw/audio/loudness.awe,1
manual.doc,32318,text,"DOS-era manual, licence or ordering document in CP437 text",not read at runtime,,text/docs/manual.txt,1
modems.txt,3082,text,Modem notes for the DOS network game,not read at runtime,,text/docs/modems.txt,1
music.mus,153482,audio,LOUDNESS (LDS) AdLib songs,src/loudness.c load_music; src/lds_play.c lds_load,loudness.c,audio/music,1
netarena.exe,74678,executable,DOS or Windows executable shipped with the data,not read at runtime,,raw/executable/netarena.exe|raw/executable/netarena.exe.strings.txt,1
netarena.pcx,22826,graphics,320x200 PCX screen carrying its own palette,not read at runtime; part of the DOS setup or network tools,,images/pcx/netarena.png,1
netfont1.pcx,8692,graphics,320x200 PCX screen carrying its own palette,not read at runtime; part of the DOS setup or network tools,,images/pcx/netfont1.png,1
netfont2.pcx,10327,graphics,320x200 PCX screen carrying its own palette,not read at runtime; part of the DOS setup or network tools,,images/pcx/netfont2.png,1
netipx.exe,27124,executable,DOS or Windows executable shipped with the data,not read at runtime,,raw/executable/netipx.exe|raw/executable/netipx.exe.strings.txt,1
netmega.pcx,33221,graphics,320x200 PCX screen carrying its own palette,not read at runtime; part of the DOS setup or network tools,,images/pcx/netmega.png,1
netmodem.exe,41982,executable,DOS or Windows executable shipped with the data,not read at runtime,,raw/executable/netmodem.exe|raw/executable/netmodem.exe.strings.txt,1
netset.pcx,53766,graphics,320x200 PCX screen carrying its own palette,not read at runtime; part of the DOS setup or network tools,,images/pcx/netset.png,1
netterm.exe,98336,executable,DOS or Windows executable shipped with the data,not read at runtime,,raw/executable/netterm.exe|raw/executable/netterm.exe.strings.txt,1
netterm.int,633,config,'ITS File' string table a DOS launcher reads its interface from,not read at runtime,,raw/config/netterm.int,1
newsh#.shp,17750,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newsh#,1
newsh0.shp,14096,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newsh0,1
newsh1.shp,29941,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",episodes.c|mainint.c|sprite.c,sprites/newsh/newsh1,1
newsh2.shp,35236,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newsh2,1
newsh3.shp,37130,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newsh3,1
newsh4.shp,29449,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newsh4,1
newsh5.shp,35813,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newsh5,1
newsh6.shp,17578,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newsh6,1
newsh7.shp,44079,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newsh7,1
newsh8.shp,35152,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newsh8,1
newsh9.shp,38831,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newsh9,1
newsh^.shp,34888,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newsh^,1
newsha.shp,25622,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newsha,1
newshb.shp,39025,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newshb,1
newshc.shp,40714,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newshc,1
newshd.shp,42012,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newshd,1
newshe.shp,28945,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newshe,1
newshf.shp,33543,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newshf,1
newshg.shp,36643,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newshg,1
newshh.shp,46639,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newshh,1
newshi.shp,30860,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newshi,1
newshj.shp,43999,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newshj,1
