keys,hold,pressed
0,1,
16,15,fire
0,15,
1,10,up
25,1,up|right|fire
24,9,right|fire
8,12,right
0,8,
4,22,left
0,28,
16,28,fire
18,8,down|fire
26,3,down|right|fire
24,12,right|fire
16,30,fire
24,9,right|fire
16,2,fire
0,8,
4,1,left
20,24,left|fire
16,39,fire
24,6,right|fire
25,3,up|right|fire
17,5,up|fire
16,40,fire
18,13,down|fire
16,1,fire
0,17,
8,5,right
24,4,right|fire
16,6,fire
0,2,
4,16,left
1,5,up
0,2,
16,11,fire
24,3,right|fire
16,59,fire
18,6,down|fire
26,1,down|right|fire
24,2,right|fire
8,6,right
0,3,
4,5,left
20,3,left|fire
16,14,fire
24,7,right|fire
16,3,fire
20,13,left|fire
16,13,fire
0,9,
4,3,left
0,13,
1,6,up
16,5,fire
0,12,
1,10,up
9,4,up|right
8,9,right
0,3,
2,11,down
0,18,
8,9,right
0,7,
4,7,left
16,4,fire
24,9,right|fire
16,1,fire
0,12,
16,7,fire
24,5,right|fire
17,9,up|fire
16,42,fire
0,10,
4,26,left
0,10,
8,9,right
0,1,
4,7,left
0,2,
2,9,down
0,7,
4,7,left
0,6,
8,7,right
0,33,
32,4,changeFire
0,16,
1,10,up
0,32,
8,7,right
16,78,fire
0,10,
4,5,left
5,2,up|left
1,2,up
17,3,up|fire
25,1,up|right|fire
24,6,right|fire
16,21,fire
24,6,right|fire
16,10,fire
17,4,up|fire
16,3,fire
20,13,left|fire
16,6,fire
20,4,left|fire
16,9,fire
18,7,down|fire
20,4,left|fire
16,45,fire
20,4,left|fire
16,7,fire
18,5,down|fire
16,16,fire
18,16,down|fire
16,7,fire
17,7,up|fire
16,5,fire
18,6,down|fire
16,1,fire
0,5,
8,24,right
24,1,right|fire
16,9,fire
24,4,right|fire
16,8,fire
24,2,right|fire
8,3,right
0,6,
4,6,left
0,6,
32,3,changeFire
0,4,
1,7,up
17,3,up|fire
16,3,fire
20,6,left|fire
22,4,down|left|fire
18,3,down|fire
26,2,down|right|fire
24,6,right|fire
16,9,fire
20,6,left|fire
16,2,fire
17,5,up|fire
16,12,fire
18,4,down|fire
26,4,down|right|fire
24,7,right|fire
25,2,up|right|fire
17,4,up|fire
16,1,fire
20,8,left|fire
16,2,fire
24,6,right|fire
16,2,fire
20,6,left|fire
22,6,down|left|fire
20,2,left|fire
16,1,fire
24,11,right|fire
16,1,fire
20,9,left|fire
16,1,fire
24,10,right|fire
20,6,left|fire
16,4,fire
20,5,left|fire
16,2,fire
17,3,up|fire
16,12,fire
18,3,down|fire
26,3,down|right|fire
16,1,fire
0,1,
4,7,left
0,2,
1,7,up
9,5,up|right
8,4,right
0,4,
4,3,left
0,9,
8,3,right
24,3,right|fire
18,3,down|fire
22,2,down|left|fire
20,3,left|fire
16,1,fire
0,15,
1,12,up
33,2,up|changeFire
1,1,up
0,3,
16,4,fire
18,15,down|fire
16,3,fire
17,11,up|fire
16,2,fire
24,5,right|fire
16,8,fire
20,3,left|fire
16,21,fire
18,6,down|fire
16,37,fire
18,11,down|fire
16,2,fire
17,8,up|fire
16,10,fire
0,29,
1,5,up
5,1,up|left
4,9,left
0,17,
16,1,fire
18,3,down|fire
2,8,down
0,2,
16,4,fire
0,12,
32,2,changeFire
0,3,
16,8,fire
24,14,right|fire
16,1,fire
20,13,left|fire
22,2,down|left|fire
20,4,left|fire
22,2,down|left|fire
26,3,down|right|fire
24,18,right|fire
20,20,left|fire
16,3,fire
24,21,right|fire
20,20,left|fire
16,27,fire
24,22,right|fire
16,1,fire
20,7,left|fire
16,15,fire
20,8,left|fire
16,11,fire
0,20,
8,9,right
0,1,
16,13,fire
20,6,left|fire
16,5,fire
24,10,right|fire
16,2,fire
20,1,left|fire
4,1,left
0,8,
4,11,left
20,2,left|fire
16,5,fire
17,4,up|fire
16,9,fire
0,1,
2,6,down
0,15,
1,6,up
9,2,up|right
8,8,right
0,3,
4,8,left
0,2,
16,14,fire
24,3,right|fire
16,39,fire
0,8,
1,10,up
9,9,up|right
11,4,up|down|right
10,3,down|right
2,14,down
6,7,down|left
4,2,left
16,17,fire
20,13,left|fire
16,2,fire
24,16,right|fire
16,3,fire
20,14,left|fire
16,4,fire
24,15,right|fire
16,15,fire
24,13,right|fire
25,2,up|right|fire
17,3,up|fire
16,2,fire
20,21,left|fire
22,6,down|left|fire
20,2,left|fire
24,4,right|fire
16,17,fire
17,4,up|fire
25,3,up|right|fire
24,18,right|fire
16,1,fire
20,7,left|fire
16,3,fire
24,9,right|fire
16,1,fire
20,12,left|fire
16,4,fire
24,8,right|fire
16,2,fire
20,11,left|fire
16,2,fire
24,3,right|fire
16,10,fire
20,4,left|fire
16,14,fire
18,9,down|fire
16,10,fire
24,10,right|fire
25,2,up|right|fire
17,5,up|fire
16,4,fire
20,19,left|fire
16,12,fire
20,9,left|fire
16,14,fire
20,2,left|fire
16,11,fire
24,18,right|fire
16,18,fire
18,1,down|fire
22,5,down|left|fire
18,4,down|fire
26,2,down|right|fire
24,12,right|fire
25,5,up|right|fire
16,17,fire
18,10,down|fire
20,8,left|fire
21,10,up|left|fire
20,18,left|fire
22,2,down|left|fire
18,6,down|fire
16,1,fire
24,3,right|fire
8,10,right
0,3,
4,6,left
20,8,left|fire
4,1,left
0,2,
8,19,right
24,18,right|fire
16,1,fire
4,11,left
0,10,
8,2,right
24,10,right|fire
16,1,fire
0,2,
1,9,up
4,12,left
6,1,down|left
2,2,down
10,5,down|right
26,1,down|right|fire
24,7,right|fire
16,1,fire
4,17,left
6,3,down|left
2,2,down
8,5,right
24,14,right|fire
20,2,left|fire
4,2,left
20,2,left|fire
4,4,left
0,11,
17,3,up|fire
25,14,up|right|fire
17,1,up|fire
20,1,left|fire
4,1,left
6,14,down|left
2,11,down
0,5,
1,1,up
9,1,up|right
25,12,up|right|fire
17,1,up|fire
20,2,left|fire
4,1,left
6,15,down|left
0,11,
9,1,up|right
25,20,up|right|fire
16,2,fire
6,24,down|left
2,1,down
0,2,
8,1,right
24,1,right|fire
25,22,up|right|fire
16,1,fire
20,3,left|fire
22,8,down|left|fire
18,1,down|fire
26,2,down|right|fire
24,2,right|fire
16,2,fire
20,5,left|fire
22,3,down|left|fire
18,1,down|fire
26,8,down|right|fire
