keys,hold,pressed
0,14,
16,21,fire
0,10,
8,20,right
24,2,right|fire
16,1,fire
0,4,
4,9,left
0,12,
16,3,fire
0,24,
16,4,fire
0,14,
4,8,left
20,3,left|fire
0,12,
8,11,right
16,6,fire
20,16,left|fire
16,1,fire
24,5,right|fire
8,7,right
24,7,right|fire
16,6,fire
20,8,left|fire
16,5,fire
24,12,right|fire
16,4,fire
20,16,left|fire
16,6,fire
24,9,right|fire
16,10,fire
20,7,left|fire
16,11,fire
24,15,right|fire
8,3,right
0,25,
16,3,fire
24,2,right|fire
8,4,right
0,9,
4,3,left
20,4,left|fire
4,9,left
0,1,
8,11,right
24,4,right|fire
0,13,
4,9,left
36,4,left|changeFire
52,1,left|fire|changeFire
20,5,left|fire
4,9,left
0,1,
8,7,right
24,4,right|fire
8,11,right
0,3,
4,4,left
20,2,left|fire
16,10,fire
20,14,left|fire
16,7,fire
24,5,right|fire
16,14,fire
20,11,left|fire
16,6,fire
24,2,right|fire
8,16,right
24,3,right|fire
16,29,fire
8,7,right
0,4,
4,4,left
5,3,up|left
1,8,up
16,2,fire
20,2,left|fire
22,5,down|left|fire
18,7,down|fire
16,44,fire
24,11,right|fire
16,1,fire
17,5,up|fire
16,4,fire
20,2,left|fire
4,8,left
0,2,
8,8,right
0,4,
4,7,left
0,1,
8,3,right
24,5,right|fire
26,9,down|right|fire
16,35,fire
0,3,
1,8,up
0,1,
4,22,left
0,14,
4,5,left
20,4,left|fire
16,15,fire
24,8,right|fire
16,40,fire
0,8,
8,5,right
10,3,down|right
26,9,down|right|fire
24,7,right|fire
16,9,fire
0,2,
1,8,up
4,3,left
20,30,left|fire
16,15,fire
20,6,left|fire
16,40,fire
0,12,
8,14,right
24,6,right|fire
8,10,right
0,12,
4,4,left
20,11,left|fire
22,5,down|left|fire
18,6,down|fire
26,3,down|right|fire
24,16,right|fire
16,15,fire
24,4,right|fire
16,26,fire
24,6,right|fire
25,1,up|right|fire
17,9,up|fire
16,4,fire
20,17,left|fire
22,14,down|left|fire
18,2,down|fire
16,36,fire
24,8,right|fire
16,13,fire
24,10,right|fire
16,29,fire
20,17,left|fire
16,55,fire
48,3,fire|changeFire
16,8,fire
17,12,up|fire
16,30,fire
18,17,down|fire
16,7,fire
24,4,right|fire
16,92,fire
24,15,right|fire
25,2,up|right|fire
17,4,up|fire
16,22,fire
18,10,down|fire
16,5,fire
24,9,right|fire
16,18,fire
20,23,left|fire
16,4,fire
24,17,right|fire
25,3,up|right|fire
17,2,up|fire
16,5,fire
20,12,left|fire
16,4,fire
17,6,up|fire
25,5,up|right|fire
24,8,right|fire
18,3,down|fire
22,11,down|left|fire
30,3,down|left|right|fire
26,5,down|right|fire
22,2,down|left|fire
18,2,down|fire
26,4,down|right|fire
24,1,right|fire
16,2,fire
17,14,up|fire
16,3,fire
24,3,right|fire
26,6,down|right|fire
22,2,down|left|fire
20,8,left|fire
21,11,up|left|fire
20,1,left|fire
16,12,fire
24,10,right|fire
26,2,down|right|fire
18,7,down|fire
16,13,fire
17,10,up|fire
16,9,fire
18,7,down|fire
16,1,fire
17,6,up|fire
16,6,fire
18,6,down|fire
16,2,fire
24,6,right|fire
16,3,fire
20,10,left|fire
16,8,fire
20,7,left|fire
17,7,up|fire
16,3,fire
26,8,down|right|fire
24,2,right|fire
25,4,up|right|fire
16,1,fire
20,6,left|fire
22,4,down|left|fire
30,2,down|left|right|fire
26,2,down|right|fire
24,7,right|fire
25,1,up|right|fire
17,1,up|fire
16,3,fire
20,7,left|fire
16,3,fire
17,4,up|fire
25,3,up|right|fire
24,3,right|fire
16,5,fire
20,13,left|fire
21,3,up|left|fire
17,3,up|fire
25,2,up|right|fire
24,1,right|fire
16,11,fire
18,5,down|fire
26,7,down|right|fire
24,14,right|fire
16,46,fire
20,10,left|fire
21,7,up|left|fire
17,4,up|fire
16,3,fire
24,6,right|fire
26,7,down|right|fire
16,61,fire
18,9,down|fire
0,7,
1,8,up
0,1,
4,20,left
0,3,
16,69,fire
18,7,down|fire
2,2,down
8,25,right
0,7,
4,10,left
5,1,up|left
21,13,up|left|fire
16,12,fire
18,6,down|fire
16,1,fire
20,5,left|fire
16,6,fire
24,5,right|fire
16,18,fire
20,4,left|fire
16,6,fire
24,12,right|fire
16,5,fire
20,7,left|fire
16,2,fire
18,1,down|fire
26,11,down|right|fire
8,1,right
0,4,
4,6,left
0,17,
16,1,fire
18,3,down|fire
2,1,down
0,4,
1,6,up
0,6,
18,2,down|fire
22,4,down|left|fire
20,5,left|fire
4,1,left
5,7,up|left
21,2,up|left|fire
17,7,up|fire
16,8,fire
18,10,down|fire
16,1,fire
1,11,up
9,7,up|right
11,1,up|down|right
26,9,down|right|fire
24,7,right|fire
25,10,up|right|fire
29,2,up|left|right|fire
20,4,left|fire
22,3,down|left|fire
20,3,left|fire
21,6,up|left|fire
20,2,left|fire
16,2,fire
24,13,right|fire
16,1,fire
0,8,
4,1,left
6,2,down|left
22,7,down|left|fire
16,3,fire
24,6,right|fire
16,2,fire
18,3,down|fire
20,7,left|fire
22,5,down|left|fire
30,1,down|left|right|fire
26,2,down|right|fire
24,8,right|fire
16,3,fire
17,4,up|fire
16,2,fire
20,4,left|fire
16,2,fire
24,2,right|fire
26,3,down|right|fire
18,3,down|fire
16,6,fire
17,5,up|fire
16,3,fire
18,7,down|fire
16,1,fire
24,9,right|fire
16,1,fire
20,12,left|fire
21,3,up|left|fire
20,3,left|fire
16,1,fire
24,9,right|fire
20,7,left|fire
28,1,left|right|fire
24,6,right|fire
16,4,fire
20,6,left|fire
28,1,left|right|fire
24,7,right|fire
20,4,left|fire
