keys,hold,pressed
0,27,
16,1,fire
24,9,right|fire
16,18,fire
24,11,right|fire
16,1,fire
0,3,
4,17,left
0,1,
8,14,right
0,15,
4,20,left
5,1,up|left
1,5,up
0,2,
16,4,fire
20,1,left|fire
4,1,left
0,2,
2,4,down
10,1,down|right
8,1,right
24,6,right|fire
16,2,fire
0,7,
4,5,left
16,4,fire
0,1,
2,3,down
0,2,
1,18,up
8,2,right
10,14,down|right
0,15,
8,3,right
0,5,
16,3,fire
0,1,
4,4,left
6,2,down|left
2,1,down
10,1,down|right
8,3,right
0,1,
16,5,fire
0,6,
8,4,right
0,5,
1,24,up
0,3,
6,18,down|left
2,1,down
0,9,
8,13,right
10,1,down|right
26,2,down|right|fire
18,1,down|fire
2,2,down
0,19,
1,6,up
0,5,
4,22,left
22,1,down|left|fire
18,2,down|fire
24,10,right|fire
16,2,fire
0,3,
8,1,right
24,4,right|fire
8,3,right
0,2,
4,6,left
0,1,
8,12,right
24,2,right|fire
16,1,fire
4,7,left
0,3,
16,3,fire
20,3,left|fire
4,17,left
0,1,
24,4,right|fire
8,25,right
20,3,left|fire
4,6,left
0,12,
16,4,fire
0,1,
4,20,left
8,3,right
24,3,right|fire
8,12,right
24,3,right|fire
8,4,right
24,8,right|fire
18,3,down|fire
16,2,fire
20,3,left|fire
17,5,up|fire
20,14,left|fire
16,4,fire
24,3,right|fire
8,11,right
0,2,
4,21,left
0,18,
2,1,down
10,2,down|right
8,20,right
0,3,
4,10,left
16,1,fire
24,3,right|fire
16,2,fire
18,5,down|fire
16,11,fire
0,4,
4,8,left
16,38,fire
0,9,
8,3,right
24,6,right|fire
16,2,fire
0,8,
1,3,up
0,2,
4,18,left
18,4,down|fire
2,1,down
0,6,
8,3,right
0,3,
16,3,fire
20,1,left|fire
4,3,left
0,11,
16,4,fire
4,18,left
16,41,fire
24,1,right|fire
8,20,right
0,4,
4,11,left
20,2,left|fire
16,1,fire
8,4,right
0,9,
16,4,fire
0,10,
8,23,right
0,1,
16,4,fire
0,16,
16,4,fire
4,18,left
20,1,left|fire
16,29,fire
24,4,right|fire
8,6,right
0,4,
16,1,fire
20,5,left|fire
4,3,left
0,7,
8,6,right
24,4,right|fire
8,3,right
0,14,
8,3,right
16,6,fire
20,7,left|fire
16,3,fire
20,9,left|fire
4,1,left
5,4,up|left
21,1,up|left|fire
17,2,up|fire
16,9,fire
18,2,down|fire
26,7,down|right|fire
24,8,right|fire
16,2,fire
20,16,left|fire
16,2,fire
24,11,right|fire
16,22,fire
20,12,left|fire
16,11,fire
24,19,right|fire
16,3,fire
20,11,left|fire
16,11,fire
24,4,right|fire
16,6,fire
24,12,right|fire
16,11,fire
24,8,right|fire
16,16,fire
24,3,right|fire
8,1,right
0,2,
1,6,up
5,3,up|left
4,19,left
0,20,
8,2,right
16,3,fire
20,3,left|fire
4,11,left
0,1,
24,6,right|fire
8,14,right
0,1,
4,6,left
20,1,left|fire
16,1,fire
24,2,right|fire
8,1,right
10,5,down|right
8,5,right
10,4,down|right
26,1,down|right|fire
18,1,down|fire
16,2,fire
0,1,
4,4,left
0,4,
16,4,fire
0,8,
4,11,left
6,2,down|left
18,2,down|fire
16,1,fire
24,1,right|fire
8,1,right
0,2,
16,5,fire
0,12,
8,11,right
0,14,
1,5,up
0,1,
4,7,left
22,1,down|left|fire
18,1,down|fire
2,7,down
0,6,
4,5,left
0,5,
16,1,fire
24,3,right|fire
8,2,right
0,26,
1,5,up
4,3,left
6,2,down|left
14,3,down|left|right
10,6,down|right
8,7,right
9,1,up|right
1,7,up
5,1,up|left
4,7,left
16,3,fire
0,1,
2,5,down
0,4,
16,2,fire
0,2,
8,10,right
0,5,
4,34,left
16,3,fire
18,7,down|fire
16,2,fire
20,3,left|fire
16,16,fire
0,1,
8,26,right
0,12,
1,3,up
4,3,left
20,1,left|fire
16,5,fire
18,4,down|fire
16,7,fire
17,4,up|fire
16,3,fire
24,5,right|fire
16,1,fire
18,7,down|fire
16,24,fire
17,5,up|fire
21,1,up|left|fire
20,8,left|fire
16,16,fire
18,4,down|fire
22,2,down|left|fire
20,6,left|fire
16,13,fire
24,15,right|fire
16,12,fire
20,2,left|fire
16,13,fire
20,5,left|fire
16,2,fire
24,3,right|fire
16,13,fire
20,9,left|fire
16,54,fire
0,3,
1,9,up
0,8,
16,3,fire
24,13,right|fire
16,7,fire
20,9,left|fire
16,3,fire
24,11,right|fire
16,11,fire
20,8,left|fire
16,7,fire
0,10,
8,19,right
0,1,
16,3,fire
20,4,left|fire
16,6,fire
18,10,down|fire
22,9,down|left|fire
20,5,left|fire
16,2,fire
20,4,left|fire
28,1,left|right|fire
24,5,right|fire
8,8,right
0,9,
4,14,left
0,3,
16,5,fire
24,9,right|fire
16,3,fire
20,14,left|fire
16,6,fire
24,11,right|fire
16,4,fire
20,10,left|fire
16,6,fire
24,11,right|fire
16,3,fire
20,7,left|fire
16,4,fire
24,9,right|fire
20,8,left|fire
16,1,fire
24,18,right|fire
16,1,fire
17,7,up|fire
1,15,up
0,1,
4,7,left
0,6,
8,3,right
10,9,down|right
2,9,down
18,8,down|fire
16,5,fire
17,13,up|fire
20,20,left|fire
22,2,down|left|fire
18,2,down|fire
16,17,fire
18,5,down|fire
16,4,fire
24,12,right|fire
16,2,fire
20,5,left|fire
16,5,fire
18,6,down|fire
16,15,fire
20,3,left|fire
16,32,fire
24,5,right|fire
16,21,fire
17,7,up|fire
16,16,fire
17,11,up|fire
16,16,fire
18,8,down|fire
22,3,down|left|fire
20,1,left|fire
4,3,left
6,4,down|left
20,14,left|fire
16,5,fire
24,12,right|fire
16,2,fire
0,9,
8,11,right
24,1,right|fire
16,25,fire
0,8,
2,6,down
0,8,
4,8,left
20,2,left|fire
16,9,fire
17,4,up|fire
16,2,fire
20,7,left|fire
22,2,down|left|fire
18,1,down|fire
16,3,fire
24,5,right|fire
16,10,fire
24,1,right|fire
8,4,right
0,17,
4,7,left
0,1,
8,9,right
0,1,
16,2,fire
20,6,left|fire
4,4,left
0,4,
24,17,right|fire
16,1,fire
20,3,left|fire
16,5,fire
17,13,up|fire
21,6,up|left|fire
23,5,up|down|left|fire
20,1,left|fire
16,6,fire
0,7,
8,4,right
10,4,down|right
2,4,down
18,2,down|fire
22,3,down|left|fire
16,5,fire
0,12,
8,4,right
24,8,right|fire
16,7,fire
20,6,left|fire
16,5,fire
0,2,
16,6,fire
0,3,
8,10,right
0,2,
4,6,left
5,2,up|left
1,4,up
0,5,
2,5,down
0,15,
4,13,left
0,64,
4,6,left
1,8,up
9,1,up|right
8,18,right
0,5,
16,6,fire
20,1,left|fire
4,11,left
20,2,left|fire
18,3,down|fire
2,3,down
10,1,down|right
8,5,right
24,6,right|fire
8,5,right
10,3,down|right
2,6,down
18,1,down|fire
22,5,down|left|fire
6,4,down|left
4,3,left
5,3,up|left
1,2,up
9,2,up|right
8,8,right
26,2,down|right|fire
18,2,down|fire
22,1,down|left|fire
6,1,down|left
4,10,left
5,5,up|left
17,3,up|fire
16,1,fire
0,1,
2,5,down
10,2,down|right
8,5,right
24,4,right|fire
25,1,up|right|fire
17,1,up|fire
1,5,up
0,6,
4,3,left
20,2,left|fire
16,2,fire
18,2,down|fire
10,5,down|right
8,8,right
24,2,right|fire
16,1,fire
20,3,left|fire
4,9,left
5,2,up|left
1,2,up
25,2,up|right|fire
24,4,right|fire
10,4,down|right
2,2,down
6,5,down|left
4,2,left
20,6,left|fire
4,3,left
0,6,
