keys,hold,pressed
0,26,
8,4,right
9,5,up|right
8,1,right
0,4,
20,17,left|fire
16,1,fire
18,3,down|fire
26,4,down|right|fire
24,4,right|fire
16,5,fire
20,7,left|fire
16,2,fire
24,6,right|fire
16,2,fire
20,10,left|fire
16,7,fire
24,6,right|fire
16,28,fire
20,3,left|fire
28,1,left|right|fire
24,18,right|fire
16,2,fire
20,4,left|fire
16,47,fire
20,6,left|fire
16,23,fire
24,8,right|fire
16,24,fire
20,8,left|fire
16,5,fire
24,22,right|fire
16,23,fire
17,8,up|fire
16,1,fire
20,7,left|fire
22,5,down|left|fire
20,2,left|fire
16,23,fire
17,8,up|fire
16,2,fire
20,9,left|fire
16,40,fire
24,16,right|fire
16,9,fire
20,4,left|fire
16,11,fire
18,4,down|fire
26,5,down|right|fire
24,8,right|fire
16,5,fire
20,2,left|fire
21,1,up|left|fire
17,6,up|fire
20,8,left|fire
16,10,fire
20,19,left|fire
16,4,fire
18,6,down|fire
16,8,fire
20,3,left|fire
16,6,fire
17,14,up|fire
16,7,fire
24,33,right|fire
16,18,fire
18,9,down|fire
16,10,fire
18,7,down|fire
22,2,down|left|fire
20,13,left|fire
16,28,fire
17,8,up|fire
24,12,right|fire
26,6,down|right|fire
16,19,fire
17,9,up|fire
20,15,left|fire
16,4,fire
18,4,down|fire
16,22,fire
0,8,
1,3,up
17,7,up|fire
21,1,up|left|fire
20,6,left|fire
16,2,fire
24,9,right|fire
16,1,fire
20,15,left|fire
16,12,fire
24,4,right|fire
26,9,down|right|fire
24,4,right|fire
25,2,up|right|fire
17,2,up|fire
16,1,fire
20,5,left|fire
16,10,fire
20,20,left|fire
16,4,fire
18,6,down|fire
16,14,fire
24,11,right|fire
16,7,fire
24,14,right|fire
20,20,left|fire
16,1,fire
17,4,up|fire
25,4,up|right|fire
24,1,right|fire
16,7,fire
18,13,down|fire
16,2,fire
24,7,right|fire
16,19,fire
20,20,left|fire
16,19,fire
24,24,right|fire
16,34,fire
20,9,left|fire
16,43,fire
24,9,right|fire
16,9,fire
24,9,right|fire
16,7,fire
20,13,left|fire
16,4,fire
17,2,up|fire
20,7,left|fire
16,5,fire
24,2,right|fire
25,4,up|right|fire
17,2,up|fire
16,5,fire
20,8,left|fire
22,1,down|left|fire
18,7,down|fire
16,18,fire
18,4,down|fire
16,5,fire
24,14,right|fire
16,35,fire
20,5,left|fire
16,18,fire
24,8,right|fire
16,22,fire
20,10,left|fire
21,5,up|left|fire
17,2,up|fire
16,4,fire
24,3,right|fire
16,46,fire
24,9,right|fire
16,17,fire
22,6,down|left|fire
16,7,fire
17,13,up|fire
16,1,fire
24,2,right|fire
26,6,down|right|fire
18,11,down|fire
16,2,fire
20,13,left|fire
16,2,fire
24,7,right|fire
25,2,up|right|fire
29,1,up|left|right|fire
21,5,up|left|fire
20,4,left|fire
22,4,down|left|fire
19,1,up|down|fire
17,2,up|fire
21,8,up|left|fire
20,1,left|fire
22,5,down|left|fire
30,1,down|left|right|fire
26,4,down|right|fire
24,2,right|fire
26,4,down|right|fire
18,2,down|fire
16,1,fire
20,7,left|fire
16,5,fire
24,8,right|fire
25,8,up|right|fire
24,2,right|fire
26,9,down|right|fire
30,1,down|left|right|fire
22,5,down|left|fire
20,7,left|fire
16,3,fire
24,5,right|fire
16,2,fire
24,3,right|fire
16,25,fire
17,8,up|fire
16,9,fire
18,2,down|fire
16,5,fire
0,11,
4,2,left
20,12,left|fire
16,4,fire
24,7,right|fire
16,35,fire
18,11,down|fire
16,12,fire
24,8,right|fire
16,58,fire
24,6,right|fire
16,13,fire
20,4,left|fire
16,6,fire
24,12,right|fire
16,22,fire
17,9,up|fire
16,2,fire
20,11,left|fire
22,8,down|left|fire
20,2,left|fire
16,14,fire
24,4,right|fire
16,4,fire
20,12,left|fire
16,2,fire
24,4,right|fire
16,4,fire
17,6,up|fire
25,6,up|right|fire
24,6,right|fire
16,5,fire
18,9,down|fire
16,2,fire
24,4,right|fire
16,7,fire
20,10,left|fire
16,12,fire
24,12,right|fire
16,12,fire
20,11,left|fire
16,8,fire
24,4,right|fire
16,50,fire
20,12,left|fire
16,18,fire
24,7,right|fire
16,2,fire
20,13,left|fire
16,4,fire
24,34,right|fire
0,9,
4,8,left
5,5,up|left
1,9,up
0,4,
2,2,down
18,15,down|fire
16,5,fire
24,5,right|fire
16,13,fire
20,8,left|fire
0,9,
1,7,up
0,3,
16,2,fire
20,6,left|fire
16,10,fire
18,18,down|fire
16,20,fire
24,8,right|fire
16,20,fire
20,8,left|fire
16,7,fire
24,6,right|fire
16,4,fire
20,12,left|fire
16,2,fire
24,22,right|fire
16,22,fire
20,13,left|fire
21,1,up|left|fire
17,5,up|fire
16,12,fire
18,12,down|fire
16,47,fire
17,4,up|fire
16,4,fire
24,4,right|fire
16,14,fire
20,2,left|fire
22,5,down|left|fire
20,3,left|fire
16,7,fire
24,17,right|fire
25,11,up|right|fire
29,1,up|left|right|fire
21,3,up|left|fire
20,2,left|fire
4,14,left
20,10,left|fire
16,10,fire
24,1,right|fire
0,9,
8,12,right
10,5,down|right
2,2,down
6,1,down|left
22,8,down|left|fire
18,1,down|fire
24,1,right|fire
26,3,down|right|fire
24,1,right|fire
16,6,fire
24,13,right|fire
16,3,fire
0,10,
16,18,fire
20,2,left|fire
4,7,left
20,18,left|fire
16,5,fire
24,21,right|fire
16,1,fire
20,27,left|fire
16,8,fire
24,6,right|fire
16,5,fire
20,7,left|fire
17,3,up|fire
16,3,fire
24,4,right|fire
26,9,down|right|fire
24,11,right|fire
16,3,fire
20,5,left|fire
16,4,fire
24,5,right|fire
25,1,up|right|fire
17,2,up|fire
16,1,fire
20,18,left|fire
16,4,fire
24,11,right|fire
25,5,up|right|fire
17,1,up|fire
16,2,fire
25,5,up|right|fire
17,1,up|fire
16,20,fire
18,2,down|fire
2,7,down
0,2,
16,1,fire
20,23,left|fire
16,2,fire
17,3,up|fire
16,3,fire
24,1,right|fire
26,4,down|right|fire
18,2,down|fire
16,5,fire
20,4,left|fire
16,2,fire
24,18,right|fire
25,2,up|right|fire
17,2,up|fire
16,2,fire
20,14,left|fire
16,3,fire
24,4,right|fire
16,1,fire
18,6,down|fire
16,1,fire
20,10,left|fire
16,6,fire
24,12,right|fire
16,2,fire
20,15,left|fire
16,1,fire
17,2,up|fire
16,3,fire
24,15,right|fire
16,8,fire
20,1,left|fire
16,11,fire
18,3,down|fire
22,3,down|left|fire
20,5,left|fire
16,4,fire
24,8,right|fire
16,10,fire
20,3,left|fire
16,3,fire
20,5,left|fire
16,8,fire
24,6,right|fire
16,2,fire
20,6,left|fire
16,7,fire
20,5,left|fire
21,1,up|left|fire
17,4,up|fire
25,2,up|right|fire
24,7,right|fire
16,13,fire
18,7,down|fire
24,6,right|fire
25,3,up|right|fire
17,2,up|fire
21,1,up|left|fire
20,13,left|fire
16,2,fire
24,8,right|fire
25,5,up|right|fire
17,1,up|fire
21,1,up|left|fire
20,15,left|fire
