id,drain,shotRepeat,multi,weaponAnimation,max,tx,ty,aim,attack,del,sx,sy,bx,by,sg,acceleration,accelerationX,circleSize,sound,trail,shipBlastFilter
0,0,0,0,0,0,0,0,0,111|114|100|44|115|108|111|116,102|117|108|108|32|58|32|98,111|111|108|101|97|110|59|0,52|0|0|0|0|32|32|32,32|108|101|102|116|112|111|119,101|114|44|114|105|103|104|116,28528|25975|11378|26994|26727|28788|30575|29285,0,0,0,0,255,240
1,10,5,1,0,1,0,0,0,1|0|0|0|0|0|0|0,255|0|0|0|0|32|32|32,0|99|117|98|101|104|100|114,12|32|58|32|97|114|114|97,0|91|49|46|46|52|93|32,0|102|32|115|116|114|105|110,67|12344|15197|54|0|8192|8224|25376,0,0,0,28,255,208
2,0,7,3,0,3,0,0,0,1|1|1|52|44|49|46|46,255|255|255|32|111|102|32|115,-6|-5|0|110|103|91|99|117,0|5|6|105|100|116|104|93,-6|-6|14|0|0|0|0|32,0|20|28|99|117|98|101|104,227|227|227|29281|24946|23417|11825|13358,0,0,0,26,255,208
3,0,7,3,0,3,0,0,0,1|1|1|0|0|32|32|32,255|255|255|99|101|110|117|109,6|5|0|32|97|114|114|97,0|5|6|46|46|52|93|32,6|6|-14|98|121|116|101|59,0|20|28|0|0|32|32|32,227|227|227|30817|8313|8250|29281|24946,0,0,0,26,255,208
4,0,6,7,0,7,0,0,0,2|2|3|2|2|2|3|32,255|255|255|255|255|255|255|116,-2|2|1|-1|1|-1|0|98,2|2|1|1|2|2|3|0,0|0|0|0|0|0|0|32,0|0|0|0|0|0|0|111,244|244|244|244|244|244|244|24933,0,0,0,26,255,208
5,20,5,1,0,1,0,0,0,2|102|97|99|101|120|44|102,255|99|101|121|32|58|32|119,0|114|100|59|0|0|0|0,12|0|0|0|0|0|0|0,0|0|0|0|0|32|32|32,0|40|42|73|116|101|109|32,245|25970|28261|26400|28524|24930|29548|10810,0,0,0,28,255,208
6,10,1,1,2,1,0,0,5,3|67|117|114|114|101|110|116,255|97|99|101|78|117|109|32,0|32|98|121|116|101|59|0,0|0|0|0|0|0|0|0,0|0|0|0|5|0|0|0,0|108|97|98|101|108|20|0,112|8192|8224|26912|25972|29549|29283|25957,0,0,0,13,255,208
7,10,1,1,2,1,0,0,4,1|0|0|102|117|110|99|116,255|111|110|32|67|97|115|104,0|101|102|116|32|58|32|108,0|110|103|105|110|116|59|0,0|0|0|0|0|118|97|114,0|0|0|0|0|32|32|116,112|27760|14880|27680|28271|26983|29806|59,0,0,0,13,255,208
8,10,1,1,2,1,0,0,3,1|0|0|0|0|32|32|105,255|101|109|110|117|109|32|58,0|119|111|114|100|59|5|0,0|0|0|98|101|103|105|110,0|0|0|0|0|32|32|32,0|101|109|112|108|58|61|115,112|25970|59|0|0|0|50|0,0,0,0,13,255,208
9,30,4,1,0,1,0,0,0,3|116|101|109|115|91|112|105,255|101|109|98|117|116|116|111,0|109|97|112|91|99|117|114,6|101|108|91|50|93|45|49,0|93|59|0|0|0|0|0,0|0|41|0|0|0|0|32,60|25956|10339|25972|28781|11372|25959|25460,0,0,0,28,255,208
