keys,hold,pressed
0,3,
16,42,fire
24,15,right|fire
16,5,fire
20,30,left|fire
16,6,fire
24,36,right|fire
16,4,fire
20,22,left|fire
16,3,fire
20,12,left|fire
16,6,fire
24,8,right|fire
16,5,fire
20,6,left|fire
16,20,fire
20,5,left|fire
16,16,fire
24,4,right|fire
16,11,fire
17,5,up|fire
16,11,fire
17,9,up|fire
16,3,fire
24,6,right|fire
26,11,down|right|fire
24,4,right|fire
16,23,fire
18,7,down|fire
16,15,fire
20,8,left|fire
16,1,fire
17,19,up|fire
16,3,fire
24,3,right|fire
26,3,down|right|fire
18,7,down|fire
22,3,down|left|fire
20,5,left|fire
16,6,fire
24,9,right|fire
16,4,fire
20,11,left|fire
16,4,fire
24,9,right|fire
16,7,fire
18,6,down|fire
20,6,left|fire
16,32,fire
0,3,
8,2,right
9,5,up|right
1,10,up
0,2,
8,5,right
10,10,down|right
0,1,
16,21,fire
24,3,right|fire
16,8,fire
18,6,down|fire
16,1,fire
24,4,right|fire
16,36,fire
17,7,up|fire
16,7,fire
20,12,left|fire
22,4,down|left|fire
20,14,left|fire
16,2,fire
24,8,right|fire
16,10,fire
24,6,right|fire
25,6,up|right|fire
17,2,up|fire
16,6,fire
0,6,
2,4,down
0,7,
4,5,left
22,1,down|left|fire
18,5,down|fire
16,15,fire
24,6,right|fire
16,7,fire
20,6,left|fire
16,14,fire
20,7,left|fire
16,2,fire
144,3,fire|rightSidekick
18,6,down|fire
16,8,fire
20,24,left|fire
16,5,fire
24,5,right|fire
16,15,fire
17,9,up|fire
145,1,up|fire|rightSidekick
144,4,fire|rightSidekick
16,20,fire
18,4,down|fire
16,10,fire
20,5,left|fire
16,1,fire
17,11,up|fire
16,2,fire
24,4,right|fire
26,10,down|right|fire
24,9,right|fire
16,6,fire
20,4,left|fire
16,3,fire
18,5,down|fire
26,3,down|right|fire
24,17,right|fire
16,12,fire
20,3,left|fire
16,11,fire
18,6,down|fire
146,1,down|fire|rightSidekick
144,3,fire|rightSidekick
20,28,left|fire
21,1,up|left|fire
17,5,up|fire
16,1,fire
18,5,down|fire
26,5,down|right|fire
18,1,down|fire
16,3,fire
20,5,left|fire
16,50,fire
20,8,left|fire
16,3,fire
17,8,up|fire
16,16,fire
18,4,down|fire
16,20,fire
17,5,up|fire
25,3,up|right|fire
24,12,right|fire
26,10,down|right|fire
24,5,right|fire
16,3,fire
20,12,left|fire
16,8,fire
24,12,right|fire
152,1,right|fire|rightSidekick
144,1,fire|rightSidekick
146,2,down|fire|rightSidekick
18,3,down|fire
22,1,down|left|fire
20,21,left|fire
16,12,fire
20,6,left|fire
21,1,up|left|fire
17,12,up|fire
16,10,fire
24,8,right|fire
16,26,fire
17,7,up|fire
25,1,up|right|fire
24,22,right|fire
26,5,down|right|fire
18,6,down|fire
22,8,down|left|fire
20,1,left|fire
16,10,fire
24,8,right|fire
16,1,fire
17,9,up|fire
16,2,fire
20,21,left|fire
16,4,fire
0,15,
2,4,down
0,1,
16,33,fire
24,6,right|fire
16,15,fire
18,6,down|fire
16,1,fire
20,5,left|fire
16,5,fire
144,4,fire|rightSidekick
16,6,fire
18,3,down|fire
16,4,fire
24,14,right|fire
25,9,up|right|fire
17,8,up|fire
16,1,fire
20,7,left|fire
22,3,down|left|fire
18,1,down|fire
26,5,down|right|fire
24,2,right|fire
16,53,fire
18,8,down|fire
16,14,fire
17,13,up|fire
16,2,fire
20,28,left|fire
16,5,fire
24,5,right|fire
16,12,fire
18,4,down|fire
16,35,fire
20,4,left|fire
16,2,fire
144,4,fire|rightSidekick
24,22,right|fire
16,7,fire
24,8,right|fire
16,12,fire
17,10,up|fire
25,2,up|right|fire
24,2,right|fire
26,5,down|right|fire
18,4,down|fire
22,9,down|left|fire
150,4,down|left|fire|rightSidekick
22,3,down|left|fire
20,16,left|fire
16,10,fire
20,10,left|fire
16,8,fire
17,5,up|fire
25,2,up|right|fire
24,2,right|fire
26,2,down|right|fire
18,4,down|fire
16,5,fire
17,4,up|fire
25,2,up|right|fire
24,3,right|fire
26,9,down|right|fire
24,4,right|fire
16,5,fire
20,6,left|fire
16,7,fire
144,4,fire|rightSidekick
16,9,fire
24,7,right|fire
16,12,fire
17,5,up|fire
16,7,fire
17,7,up|fire
20,7,left|fire
16,2,fire
24,8,right|fire
26,12,down|right|fire
24,1,right|fire
16,11,fire
20,4,left|fire
16,5,fire
20,8,left|fire
21,1,up|left|fire
17,4,up|fire
