keys,hold,pressed
0,17,
16,4,fire
24,6,right|fire
16,8,fire
24,3,right|fire
16,3,fire
0,25,
128,3,rightSidekick
192,9,leftSidekick|rightSidekick
196,8,left|leftSidekick|rightSidekick
192,2,leftSidekick|rightSidekick
200,5,right|leftSidekick|rightSidekick
201,2,up|right|leftSidekick|rightSidekick
193,9,up|leftSidekick|rightSidekick
192,3,leftSidekick|rightSidekick
200,5,right|leftSidekick|rightSidekick
202,1,down|right|leftSidekick|rightSidekick
194,4,down|leftSidekick|rightSidekick
198,3,down|left|leftSidekick|rightSidekick
196,6,left|leftSidekick|rightSidekick
192,7,leftSidekick|rightSidekick
196,5,left|leftSidekick|rightSidekick
192,3,leftSidekick|rightSidekick
200,10,right|leftSidekick|rightSidekick
192,35,leftSidekick|rightSidekick
193,6,up|leftSidekick|rightSidekick
201,2,up|right|leftSidekick|rightSidekick
200,8,right|leftSidekick|rightSidekick
194,1,down|leftSidekick|rightSidekick
210,1,down|fire|leftSidekick|rightSidekick
194,1,down|leftSidekick|rightSidekick
192,11,leftSidekick|rightSidekick
196,11,left|leftSidekick|rightSidekick
192,6,leftSidekick|rightSidekick
193,10,up|leftSidekick|rightSidekick
196,12,left|leftSidekick|rightSidekick
192,1,leftSidekick|rightSidekick
208,1,fire|leftSidekick|rightSidekick
192,1,leftSidekick|rightSidekick
200,10,right|leftSidekick|rightSidekick
202,3,down|right|leftSidekick|rightSidekick
194,4,down|leftSidekick|rightSidekick
198,1,down|left|leftSidekick|rightSidekick
196,4,left|leftSidekick|rightSidekick
192,5,leftSidekick|rightSidekick
200,5,right|leftSidekick|rightSidekick
202,6,down|right|leftSidekick|rightSidekick
200,1,right|leftSidekick|rightSidekick
216,3,right|fire|leftSidekick|rightSidekick
200,12,right|leftSidekick|rightSidekick
192,1,leftSidekick|rightSidekick
193,9,up|leftSidekick|rightSidekick
192,1,leftSidekick|rightSidekick
196,4,left|leftSidekick|rightSidekick
198,8,down|left|leftSidekick|rightSidekick
214,3,down|left|fire|leftSidekick|rightSidekick
198,1,down|left|leftSidekick|rightSidekick
196,9,left|leftSidekick|rightSidekick
192,3,leftSidekick|rightSidekick
200,12,right|leftSidekick|rightSidekick
216,1,right|fire|leftSidekick|rightSidekick
208,1,fire|leftSidekick|rightSidekick
212,1,left|fire|leftSidekick|rightSidekick
196,8,left|leftSidekick|rightSidekick
212,7,left|fire|leftSidekick|rightSidekick
208,1,fire|leftSidekick|rightSidekick
216,27,right|fire|leftSidekick|rightSidekick
217,2,up|right|fire|leftSidekick|rightSidekick
209,14,up|fire|leftSidekick|rightSidekick
208,1,fire|leftSidekick|rightSidekick
212,3,left|fire|leftSidekick|rightSidekick
196,11,left|leftSidekick|rightSidekick
198,19,down|left|leftSidekick|rightSidekick
212,4,left|fire|leftSidekick|rightSidekick
196,10,left|leftSidekick|rightSidekick
204,3,left|right|leftSidekick|rightSidekick
200,1,right|leftSidekick|rightSidekick
216,30,right|fire|leftSidekick|rightSidekick
212,9,left|fire|leftSidekick|rightSidekick
196,11,left|leftSidekick|rightSidekick
197,1,up|left|leftSidekick|rightSidekick
193,12,up|leftSidekick|rightSidekick
201,9,up|right|leftSidekick|rightSidekick
200,3,right|leftSidekick|rightSidekick
202,2,down|right|leftSidekick|rightSidekick
218,12,down|right|fire|leftSidekick|rightSidekick
214,18,down|left|fire|leftSidekick|rightSidekick
212,13,left|fire|leftSidekick|rightSidekick
220,2,left|right|fire|leftSidekick|rightSidekick
216,25,right|fire|leftSidekick|rightSidekick
208,3,fire|leftSidekick|rightSidekick
212,3,left|fire|leftSidekick|rightSidekick
208,10,fire|leftSidekick|rightSidekick
212,2,left|fire|leftSidekick|rightSidekick
208,3,fire|leftSidekick|rightSidekick
216,2,right|fire|leftSidekick|rightSidekick
200,3,right|leftSidekick|rightSidekick
201,8,up|right|leftSidekick|rightSidekick
193,2,up|leftSidekick|rightSidekick
192,1,leftSidekick|rightSidekick
196,15,left|leftSidekick|rightSidekick
212,3,left|fire|leftSidekick|rightSidekick
198,6,down|left|leftSidekick|rightSidekick
196,11,left|leftSidekick|rightSidekick
208,1,fire|leftSidekick|rightSidekick
216,1,right|fire|leftSidekick|rightSidekick
200,2,right|leftSidekick|rightSidekick
192,2,leftSidekick|rightSidekick
194,7,down|leftSidekick|rightSidekick
192,5,leftSidekick|rightSidekick
200,15,right|leftSidekick|rightSidekick
216,9,right|fire|leftSidekick|rightSidekick
208,1,fire|leftSidekick|rightSidekick
209,6,up|fire|leftSidekick|rightSidekick
208,1,fire|leftSidekick|rightSidekick
192,11,leftSidekick|rightSidekick
194,3,down|leftSidekick|rightSidekick
198,8,down|left|leftSidekick|rightSidekick
196,12,left|leftSidekick|rightSidekick
212,12,left|fire|leftSidekick|rightSidekick
208,2,fire|leftSidekick|rightSidekick
216,32,right|fire|leftSidekick|rightSidekick
200,1,right|leftSidekick|rightSidekick
192,5,leftSidekick|rightSidekick
193,10,up|leftSidekick|rightSidekick
192,1,leftSidekick|rightSidekick
196,19,left|leftSidekick|rightSidekick
198,8,down|left|leftSidekick|rightSidekick
192,2,leftSidekick|rightSidekick
200,7,right|leftSidekick|rightSidekick
192,24,leftSidekick|rightSidekick
196,7,left|leftSidekick|rightSidekick
200,14,right|leftSidekick|rightSidekick
192,1,leftSidekick|rightSidekick
193,6,up|leftSidekick|rightSidekick
192,1,leftSidekick|rightSidekick
196,21,left|leftSidekick|rightSidekick
192,3,leftSidekick|rightSidekick
