id,drain,shotRepeat,multi,weaponAnimation,max,tx,ty,aim,attack,del,sx,sy,bx,by,sg,acceleration,accelerationX,circleSize,sound,trail,shipBlastFilter
0,0,0,0,0,0,0,0,0,2|97|115|116|80|89|83|104,255|116|77|111|118|101|0|48,0|24|0|0|0|42|1|-3,10|-46|40|81|3|80|88|66,0|50|84|24|0|0|0|42,0|-3|0|25|22|81|3|80,59|13312|6228|0|10752|64769|59648|20773,0,0,0,0,255,240
1,10,5,1,0,1,0,0,0,1|253|0|200|20|81|7|76,255|115|116|80|89|66|0|56,0|24|0|0|0|42|1|-3,12|-43|42|81|8|76|97|115,0|80|88|50|66|0|58|84,0|0|0|0|42|1|-3|0,67|2129|24908|29811|22864|16946|15360|6228,0,0,0,28,255,208
2,10,4,1,0,1,0,0,0,3|103|101|66|0|62|84|24,255|0|0|42|1|253|0|40,0|81|9|80|89|67|104|97,4|103|101|66|0|64|84|24,0|0|0|42|1|-3|0|-70,0|81|9|76|97|115|116|84,146|17006|16896|6228|0|10752|64769|16640,0,0,0,1,255,208
3,10,4,1,0,1,0,0,0,3|2|0|0|42|1|253|0,255|255|81|14|116|101|109|112,-3|0|115|116|116|117|114|110,3|10|0|70|84|24|0|0,0|6|1|-3|0|23|40|81,0|0|116|111|112|119|97|105,147|59|21576|24|0|278|253|10290,0,0,0,1,255,208
4,10,4,1,0,1,0,0,0,3|1|1|22|1|253|0|22,255|255|255|77|111|117|115|101,-3|0|0|74|84|24|0|0,3|10|10|-3|0|-109|26|81,0|-8|8|117|115|101|89|66,0|4|4|24|0|0|0|62,145|58|58|20482|88|21582|24|0,0,0,0,1,255,208
5,20,5,1,0,1,0,0,0,2|1|1|253|0|36|41|81,255|255|255|115|116|80|88|0,0|0|0|0|0|0|42|1,12|10|10|42|81|6|76|97,0|-9|9|89|0|84|84|24,0|4|4|42|1|-3|0|46,245|58|58|20596|12888|22016|6228|0,0,0,0,28,255,208
6,10,4,1,0,1,0,0,0,1|2|2|24|0|0|0|42,255|255|255|158|27|81|8|80,0|0|0|97|110|103|101|0,8|10|10|0|0|0|42|1,0|-10|10|43|81|8|80|89,0|4|4|110|103|101|0|92,146|59|59|64769|31488|20775|19464|29537,0,0,0,1,255,208
7,10,4,1,0,1,0,0,0,1|2|2|9|76|97|115|116,255|255|255|110|50|0|96|84,-6|0|0|0|42|1|-3|0,6|10|10|13|116|101|109|112,0|-10|10|116|116|117|114|110,0|4|4|84|24|0|0|0,147|59|59|2385|29779|28783|24951|29801,0,0,0,1,255,208
8,10,4,1,0,1,0,0,0,1|2|2|1|1|97|105|116,255|255|255|255|255|0|0|0,-6|0|0|0|0|30|81|6,6|10|10|10|10|116|0|102,0|-10|10|-18|18|125|45|-22,0|4|4|8|8|80|89|72,145|59|59|58|58|32000|59949|3072,0,0,0,1,255,208
9,30,4,1,0,1,0,0,0,3|2|2|2|2|6|0|0,255|255|255|255|255|253|0|105,0|0|0|0|0|81|11|79,6|10|10|10|10|49|68|114,0|-10|10|-20|20|24|0|0,0|4|4|8|8|104|40|81,60|59|59|59|59|30561|29696|6228,0,0,0,28,255,208
10,120,3,4,0,4,0,0,0,3|3|3|3|2|109|0|118,255|255|255|255|255|62|1|253,-3|3|-3|3|0|79|112|116,3|3|-3|-3|10|116|101|109,0|0|0|0|24|0|0|62,0|0|0|0|8|81|14|79,302|0|0|0|59|24909|120|21626,0,0,0,1,255,208
11,30,2,1,0,1,0,0,0,2|110|50|65|109|109|111|77,255|120|0|123|84|24|0|0,0|22|1|-3|0|97|39|81,20|79|112|116|105|111|110|49,0|109|109|111|82|101|99|104,0|114|103|101|87|97|105|116,148|6228|0|15872|64769|5120|20773|20247,-1,0,0,28,255,208
12,0,0,1,9,1,0,0,0,2|1|87|97|105|116|0|126,8|255|0|0|0|62|1|253,0|3|44|81|26|79|112|116,-1|9|110|49|65|109|109|111,0|4|99|104|97|114|103|101,0|0|105|116|77|97|120|0,21|202|0|318|253|11348|6737|28751,0,0,0,9,1,112
13,0,0,8,9,8,0,0,0,1|1|2|1|2|1|1|1,8|8|8|8|8|8|8|8,0|0|3|5|-3|-5|-6|6,2|-2|0|0|0|0|0|0,0|0|0|4|0|-4|-4|4,0|0|0|0|0|0|0|0,21|21|21|20|21|20|20|20,0,0,0,12,1,112
